aalib 1.4rc5-19
qemu-block-curl 11.0.0-1
qemu-block-dmg 11.0.0-1
qemu-block-gluster 11.0.0-1
qemu-block-iscsi 11.0.0-1
qemu-block-nfs 11.0.0-1
qemu-block-ssh 11.0.0-1
qemu-chardev-baum 11.0.0-1
qemu-chardev-spice 11.0.0-1
qemu-common 11.0.0-1
qemu-desktop 11.0.0-1
qemu-docs 11.0.0-1
qemu-emulators-full 11.0.0-1
qemu-full 11.0.0-1
qemu-hw-display-qxl 11.0.0-1
qemu-hw-display-virtio-gpu 11.0.0-1
qemu-hw-display-virtio-gpu-gl 11.0.0-1
qemu-hw-display-virtio-gpu-pci 11.0.0-1
qemu-hw-display-virtio-gpu-pci-gl 11.0.0-1
qemu-hw-display-virtio-gpu-pci-rutabaga 11.0.0-1
qemu-hw-display-virtio-gpu-rutabaga 11.0.0-1
qemu-hw-display-virtio-vga 11.0.0-1
qemu-hw-display-virtio-vga-gl 11.0.0-1
qemu-hw-display-virtio-vga-rutabaga 11.0.0-1
qemu-hw-s390x-virtio-gpu-ccw 11.0.0-1
qemu-hw-uefi-vars 11.0.0-1
qemu-hw-usb-host 11.0.0-1
qemu-hw-usb-redirect 11.0.0-1
qemu-hw-usb-smartcard 11.0.0-1
qemu-img 11.0.0-1
qemu-pr-helper 11.0.0-1
qemu-system-aarch64 11.0.0-1
qemu-system-alpha 11.0.0-1
qemu-system-alpha-firmware 11.0.0-1
qemu-system-arm 11.0.0-1
qemu-system-arm-firmware 11.0.0-1
qemu-system-avr 11.0.0-1
qemu-system-hppa 11.0.0-1
qemu-system-hppa-firmware 11.0.0-1
qemu-system-loongarch64 11.0.0-1
qemu-system-m68k 11.0.0-1
qemu-system-microblaze 11.0.0-1
qemu-system-microblaze-firmware 11.0.0-1
qemu-system-mips 11.0.0-1
qemu-system-or1k 11.0.0-1
qemu-system-ppc 11.0.0-1
qemu-system-ppc-firmware 11.0.0-1
qemu-system-riscv 11.0.0-1
qemu-system-riscv-firmware 11.0.0-1
qemu-system-rx 11.0.0-1
qemu-system-s390x 11.0.0-1
qemu-system-s390x-firmware 11.0.0-1
qemu-system-sh4 11.0.0-1
qemu-system-sparc 11.0.0-1
qemu-system-sparc-firmware 11.0.0-1
qemu-system-tricore 11.0.0-1
qemu-system-x86 11.0.0-1
qemu-system-x86-firmware 11.0.0-1
qemu-system-xtensa 11.0.0-1
qemu-tests 11.0.0-1
qemu-tools 11.0.0-1
qemu-ui-curses 11.0.0-1
qemu-ui-dbus 11.0.0-1
qemu-ui-egl-headless 11.0.0-1
qemu-ui-gtk 11.0.0-1
qemu-ui-opengl 11.0.0-1
qemu-ui-sdl 11.0.0-1
qemu-ui-spice-app 11.0.0-1
qemu-ui-spice-core 11.0.0-1
qemu-user 11.0.0-1
qemu-vhost-user-gpu 11.0.0-1
qemu-vmsr-helper 11.0.0-1
qrencode 4.1.1-4
raptor 2.0.16-9
rav1e 0.8.1-2
rdma-core 63.0-1
readline 8.3.003-1
reflector 2023-5
rhash 1.4.6-1
ripgrep 15.1.0-2
rpcbind 1.2.8-1
rsync 3.4.2-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
runc 1.4.2-1
rutabaga-ffi 0.1.75-1
rygel 1:45.1-1
sbc 2.2-1
sbctl 0.18-1
sdl2-compat 2.32.68-1
sdl2_image 2.8.12-1
sdl2_ttf 2.24.0-2
sdl3 3.4.8-1
sdl3_ttf 3.2.2-3
seabios 1.17.0-2
sed 4.10-1
semver 7.8.0-1
serd 0.32.8-1
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
simdjson 1:4.6.4-1
slang 2.3.3-4
smbclient 2:4.24.2-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
speech-dispatcher 0.12.1-3
speex 1.2.1-2
